l+p,1
h+i,2
n+g,5
i+k,4
u+c,1
c+a,3
l+a,1
h+o,2
h+e,6
k+e,6
i+s,2
p+p,1
+c,4
+a,4
m+o,1
a+f,1
o+l,1
v+e,4
l+c,1
+d,6
+t,4
r+,1
a+,2
r+a,2
b+y,1
e+v,1
c+o,3
+n,3
n+d,2
d+e,1
a+n,3
u+n,1
t+t,1
o+n,3
t+o,3
a+r,3
g+r,2
r+s,2
l+i,4
g+,1
d+,8
t+,3
e+,10
a+y,3
d+o,4
+s,1
t+u,1
t+i,2
c+h,2
sum,317
l+l,2
y+,4
a+p,1
t+a,4
r+k,1
w+e,1
o+,5
b+i,1
b+o,1
g+o,6
i+n,4
+y,3
s+p,1
t+e,3
n+o,3
+f,2
n+s,1
i+c,1
o+r,5
u+l,1
i+o,1
a+b,1
s+,1
p+i,1
f+t,1
y+o,3
+b,2
a+k,1
o+w,1
+e,1
r+e,2
e+l,3
r+n,2
f+a,2
p+y,1
l+u,1
+m,2
v+o,2
h+d,1
o+d,5
n+i,2
a+t,4
n+e,1
t+y,1
a+v,3
o+t,2
o+m,1
e+e,2
+h,3
p+,1
o+s,1
w+,1
l+o,3
o+v,2
i+r,1
+u,1
s+t,2
w+o,1
+g,2
d+a,3
i+,6
a+d,1
e+d,3
o+o,6
m+y,1
t+h,2
e+n,1
o+u,3
u+a,1
g+e,1
h+a,4
r+t,2
d+u,1
c+k,1
a+l,3
e+r,3
w+h,1
u+,2
i+t,4
+i,2
m+e,2
o+i,1
+l,6
r+i,2
n+,2
+w,1
c+i,1
