bonjour
salut
bonsoir
bienvenue
bonne journée
qu'est ce que tu aimes faire
j'aime
je déteste
j'adore
je préfère
j'aime aller à
joyeux anniversaire
bonne chance
au revoir
félicitations
désolé
je voudrais
tu veux 
à bientôt
à demain
comment allez-vous
appel
graduel
au-dessus
grenier
je dois commencer
il changeait de jour en jour sa couleur préférée
il travaillait dans un hôpital de la ville
je t'aime
